proper names,WGSN-id,Designation,HIP,Bayer ID,Simbad spelling,Constellation,Origin,Ethnic-Cultural_Group_or_Language,Reference,Date of Adoption
Zembra,10120,HATS-72,,,Zembra,Aqr,"Zembra (?????) is an island in the Gulf of Tunis, known for its wildlife and seabirds. It is part of the UNESCO Iles Zembra et Zembretta Biosphere Reserve, Tunisia.",Arabic,NEWC Tunesia: Places and species associated with UNESCO biosphere reserves in Tunisia.,8/1/2023
Geminga,10031,PSR B0633+17,,,Geminga,Gem,"The star name is an Italian pun, suggested in a paper by Bignami et al. (1983): This source is in the constellation of Gemini and it is a gamma-ray source. Pronounced with both G’s as in “get,” the word means “does not exist” or “it’s not there” in Milanese dialect.",Contemporary,"Bignami, G. F. ; Caraveo, P. A. ; Lamb, R. C. (1983). An identification for ""GEMINGA"" (2CG 195+04) 1E 0630+178 : a unique object in the error box of the high-energy gamma-ray source. Astrophysical Journal, Vol. 272, p. L9-L13",4/4/2022
Rana,1168,HR 1136,17378,? Eri,Rana,Eri,"Rana is Latin ""The Frog"". There are several stars named ""frog"" in the Arabic culture but at different places.  WGSN placed the name at that constellation of the river.",Latin,,4/4/2022
Mazaalai,10065,HAT-P-21,,,Mazaalai,UMa,"Mazaalai is the Mongolian name for the endangered Gobi bear subspecies (Ursus arctos gobiensis) of the Gobi Desert region of Mongolia, and the name of the first Mongolian satellite.",Mongolian,2019 IAU100 NameExoWorlds,2/24/2020
Absolutno,10038,XO-5,,,Absolutno,Lyn,Absolutno is a fictional miraculous substance in the sci-fi novel Továrna na absolutno (The Factory for the Absolute) by influential Czech writer Karel ?apek.,fictional,2019 IAU100 NameExoWorlds,12/17/2019
Alasia,10103,HD 168746,90004,,Alasia,Ser,"Alasia is the first historically recorded name of Cyprus, dating back to mid-fifteenth century BCE.",NEWC,2019 IAU100 NameExoWorlds,12/17/2019
Amadioha,10025,HD 43197,29550,,Amadioha,CMa,"Amadioha is the god of thunder in Igbo mythology. As well as representing justice, Amadioha is also a god of love, peace and unity.",Igbo,2019 IAU100 NameExoWorlds,12/17/2019
Amansinaya,10059,WASP-34,,,Amansinaya,Crt,"Aman Sinaya is one of the two trinity deities of the Philippine's Tagalog mythology, and is the primordial deity of the ocean and protector of fisherman.",Filipino,2019 IAU100 NameExoWorlds,12/17/2019
Anadolu,10127,WASP-52,,,Anadolu,Peg,Anadolu is the primary homeland of Turkey and refers to the motherland in Turkish culture.,Turkish,2019 IAU100 NameExoWorlds,12/17/2019
Aniara,10064,HD 102956,57820,,Aniara,UMa,Aniara is the name of a spaceship in the epic poem Aniara by Swedish author Harry Martinson.,fictional,2019 IAU100 NameExoWorlds,12/17/2019
Arcalís,10079,HD 131496,72845,,Arcalís,Boo,"Arcalis is a famous peak in the north of Andorra, where the Sun passes through a hole in the mountain twice a year at fixed dates. It was used as a primitive solar calendar and reference point for shepherds and early inhabitants of Andorra.",Catalan,2019 IAU100 NameExoWorlds,12/17/2019
Atakoraka,10032,WASP-64,,,Atakoraka,CMa,Atakoraka means the chain of the Atacora: the largest mountain range in Togo.,Ewe,2019 IAU100 NameExoWorlds,12/17/2019
Axólotl,10124,HD 224693,118319,,Axolotl,Cet,"Axólotl means water animal in the native Nahuatl language, which is a unique and culturally significant endemic amphibious species from the basin of Mexico.",Nahuatl,2019 IAU100 NameExoWorlds,12/17/2019
Ayeyarwady,10015,HD 18742,13993,,Ayeyarwady,Eri,Ayeyarwady is the largest and most important river in Myanmar.,Burmese,2019 IAU100 NameExoWorlds,12/17/2019
Baekdu,10080,HD 133086,73136,8 UMi,Baekdu,UMi,"Baekdu is the highest mountain on the Korean peninsula, situated in North Korea, and symbolises the national spirit of Korea.",Korean,2019 IAU100 NameExoWorlds,12/17/2019
Belel,10106,HD 181342,95124,,Belel,Sgr,Belel is a rare source of water in the north of Senegal.,Wolof,2019 IAU100 NameExoWorlds,12/17/2019
Bélénos,10006,HD 8574,6643,,Belenos,Psc,"Bélénos was the god of light, of the Sun, and of health in Gaulish mythology.",French,2019 IAU100 NameExoWorlds,12/17/2019
Berehynia,10021,HAT-P-15,,,Berehynia,Per,"Berehynia was a Slavic deity of waters and riverbanks but in more recent times her status has been promoted to that of a national goddess — ""hearth mother, protectress of the earth"".",Ukrainian,2019 IAU100 NameExoWorlds,12/17/2019
Bibh?,10049,HD 86081,48711,,Bibha,Sex,"Bibh? [/b?b?a/] is the Bengali pronunciation of the Sanskrit word Vibha, which means a bright beam of light.",Bengali,2019 IAU100 NameExoWorlds,12/17/2019
Bosona,10115,HD 206610,107251,,Bosona,Aqr,"Bosona is the name given to the territory of Bosnia in the 10th century. Later, the name was transformed to Bosnia originating from the name of the Bosna river.",NEWC,2019 IAU100 NameExoWorlds,12/17/2019
Bubup,10023,HD 38283,26380,,Bubup,Men,Bubup is the Boonwurrung word for child.,Boonwurrung,2019 IAU100 NameExoWorlds,12/17/2019
Buna,10008,HD 16175,12191,,Buna,And,Buna is the commonly used word for coffee in Ethiopia.,Ethiopian,2019 IAU100 NameExoWorlds,12/17/2019
Ceibo,10033,HD 63454,37284,,Ceibo,Cha,Ceibo is the name of the native tree of Uruguay that gives rise to the national flower.,Spanish,2019 IAU100 NameExoWorlds,12/17/2019
Chaophraya,10014,WASP-50,,,Chaophraya,Eri,Chao Phraya is the great river of Thailand.,Thai,2019 IAU100 NameExoWorlds,12/17/2019
Chaso?,10105,HAT-P-5,,,Chason,Lyr,Chaso? is an ancient Slovak term for Sun.,Slovakian,2019 IAU100 NameExoWorlds,12/17/2019
Chechia,7731,HD 192699,99894,,Chechia,Aql,"Chechia is a flat-surfaced, traditional red wool hat worn by men and women, symbolising the country's rich traditions and is considered as the national headdress for in Tunisia.",Tunisian Arabic,2019 IAU100 NameExoWorlds,12/17/2019
Citadelle,10001,HD 1502,1547,,Citadelle,Psc,"The Citadelle is a large mountaintop fortress in Nord, Haiti built after Haiti's independence, and was designated a UNESCO World Heritage site along with the nearby Sans-Souci Palace.",French,2019 IAU100 NameExoWorlds,12/17/2019
Citalá,2620,HD 52265,33719,,Citala,Mon,Citalá means River of stars in the native Nahuat language.,Nawat language,2019 IAU100 NameExoWorlds,12/17/2019
Cocibolca,10003,HD 4208,3479,,Cocibolca,Scl,Cocibolca is the Nahualt name for the largest lake in Central America in Nicaragua.,Spanish,2019 IAU100 NameExoWorlds,12/17/2019
Dingolay,10057,HD 96063,54158,,Dingolay,Leo,"Dingolay means to dance, twist and turn in elaborate movements, symbolising the culture and language of the ancestors of the people of Trinidad and Tobago.",English,2019 IAU100 NameExoWorlds,12/17/2019
Dìwö,10086,WASP-17,,,Dìwo,Sco,Dìwö in Bribri language means the sun (bigger than the sun we know) and that never turns off.,Bribri,2019 IAU100 NameExoWorlds,12/17/2019
Diya,10013,WASP-72,,,Diya,For,"Diya is an oil lamp that is brought by Indian ancestors to Mauritius in the 1820's, and is used for lighting during special occasions, including the light festival of Diwali.",Hindi,2019 IAU100 NameExoWorlds,12/17/2019
Dofida,10073,HD 117618,66047,,Dofida,Cen,Dofida means our star in Nias language.,Nias language,2019 IAU100 NameExoWorlds,12/17/2019
Dombay,10075,HAT-P-3,,,Dombay,UMa,"Dombay is a resort region in the North Caucasus mountains that is enclosed by mountain forests and rich wildlife, including bears (as this star lies in the constellation Ursa Major, the great bear).",Russian,2019 IAU100 NameExoWorlds,12/17/2019
Ebla,10122,HD 218566,114322,,Ebla,Psc,"Ebla was one of the earliest kingdoms in Syria, and served as a prominent region in the 2nd and 3rd millenia B.C.",NEWC,2019 IAU100 NameExoWorlds,12/17/2019
Emiw,10005,HD 7199,5529,,Emiw,Tuc,Emiw represents love in the local Makhuwa language of the northern region of Mozambique.,Makhuwa,2019 IAU100 NameExoWorlds,12/17/2019
Felixvarela,10002,BD-17 63,2247,,Felixvarela,Cet,"Felix Varela (1788–1853) was the first to teach science in Cuba at the San Carlos and San Ambrosio Seminary. He opened the way to education for all, and began the experimental teaching of physics in Cuba.",NEWC,2019 IAU100 NameExoWorlds,12/17/2019
Flegetonte,10063,HD 102195,57370,,Flegetonte,Vir,"Flegetonte is the underworld river of fire from Greek Mythology in the Italian narrative poem on the afterlife ""Divina Commedia"" (Divine Commedy) by Dante Alighieri, chosen as an allusion to the star's fiery nature.",Italian,2019 IAU100 NameExoWorlds,12/17/2019
Formosa,4458,HD 100655,56508,,Formosa,Leo,"Formosa is the historical name of Taiwan used in the 17th century, meaning beautiful in Latin.",Portuguese,2019 IAU100 NameExoWorlds,12/17/2019
Franz,10100,HAT-P-14,,,Franz,Her,"Franz is a character in the movie ""Sissi"" embodying an emperor of Austria in the XIXth century. The role is played by the actor Karlheinz Böhm. The male name ""Franz"" is a German derivative from Italian ""Francesco"" (Latinized Franciscus), meaning ""litte Frenchman"" with the Latin root ""franc"" for ""free"" also interpretable as ""Little Free Man"". The name goes back to ""Franz von Assisi"" (Francis of Assisi, 13th century) whose mother was French which caused his father to call him Francesco.",German,2019 IAU100 NameExoWorlds,12/17/2019
Funi,10068,HD 109246,61177,,Funi,Dra,Funi is an old Icelandic word meaning fire or blaze.,Icelandic,2019 IAU100 NameExoWorlds,12/17/2019
Gakyid,10041,HD 73534,42446,,Gakyid,Cnc,Gakyid means happiness. Gross National Happiness is the development philosophy conceived and followed in Bhutan and is one of Bhutan's contributions to the world.,Dzongkha,2019 IAU100 NameExoWorlds,12/17/2019
Gloas,10050,WASP-13,,,Gloas,Lyn,"In Manx Gaelic, Gloas means to shine (like a star).",Manx Gaelic,2019 IAU100 NameExoWorlds,12/17/2019
Gumala,7312,HD 179949,94645,V5652 Sgr,Gumala,Sgr,"Gumala is a Malay word, which means a magic bezoar stone found in snakes, dragons, etc.",Malay,2019 IAU100 NameExoWorlds,12/17/2019
Hoggar,10019,HD 28678,21109,,Hoggar,Tau,Hoggar is the name of the main mountain range in the Sahara Desert in southern Algeria.,Arabic,2019 IAU100 NameExoWorlds,12/17/2019
Horna,10012,HAT-P-38,,,Horna,Tri,Horna is hell or the underworld from Finnic mythology.,Finnish,2019 IAU100 NameExoWorlds,12/17/2019
Hunahpú,10058,HD 98219,55174,,Hunahpu,Crt,Hunahpú was one of the twin gods who became the Sun in K'iche' (Quiché) Mayan mythology as recounted in the Popol Vuh.,K?iche? language,2019 IAU100 NameExoWorlds,12/17/2019
Hunor,10095,HAT-P-2,80076,,Hunor,Her,"Hunor was a legendary ancestor of the Huns and the Hungarian nation, and brother of Magor.",Hungarian,2019 IAU100 NameExoWorlds,12/17/2019
Illyrian,10046,HD 82886,47087,,Illyrian,LMi,"Historians largely believe that the Albanians are descendants of the Illyrians, a term Albanians proudly call themselves.",English,2019 IAU100 NameExoWorlds,12/17/2019
Inquill,10097,HD 156411,84787,,Inquill,Ara,Inquill was one half of the couple involved in the tragic love story Way to the Sun by famous Peruvian writer Abraham Valdelomar.,fictional,2019 IAU100 NameExoWorlds,12/17/2019
Intan,10016,HD 20868,15578,,Intan,For,"Intan means diamond in the Malay language (Bahasa Melayu), alluding to the shining of a star.",Bahasa Melyu,2019 IAU100 NameExoWorlds,12/17/2019
Irena,10094,WASP-38,,,Irena,Her,Irena is a leading character in the novel Under the Free Sun: a Story of the Ancient Grandfathers by Slovene writer Fran Saleški Finžgar. Irena is a woman of the court.,NEWC,2019 IAU100 NameExoWorlds,12/17/2019
Itonda,10116,HD 208487,108375,,Itonda,Gru,"Itonda, in the Myene tongue, corresponds to all that is beautiful.",Myene,2019 IAU100 NameExoWorlds,12/17/2019
Jishui,2920,HR 2930,37265,? Gem,Jishui,Gem,"traditional Chinese single star asterism: translations of the term are ""Bilgewater"", ""a store of water to make wine"", or ""accumulated water (held in by dikes for future use)"". It refers to a faint star in Gemini or Perseus that is idenfied differently by modern authors. Sun and Kistemaker (1997) from Han sources and Sun Shuwei (Stellarium) from a medieval source both suggest o Gem while Xu et al. (2000) identify lambda Persei.",Chinese,Shi shi xingjing (Star Catalogue of the Shi Shi),12/17/2019
Kalausi,10047,HD 83443,47202,,Kalausi,Vel,The word Kalausi means a very strong whirling column of wind in the Dholuo language of Kenya.,Dholuo,2019 IAU100 NameExoWorlds,12/17/2019
Kamuy,10087,HD 145457,79219,,Kamuy,CrB,Kamuy is a word in the Ainu language denoting a supernatural entity possessing spiritual energy.,Ainu,2019 IAU100 NameExoWorlds,12/17/2019
Karaka,10085,HD 137388,76351,,Karaka,Aps,"Karaka is the word in the M?ori language for a plant endemic to New Zealand that produces a bright orange, fleshy fruit.",M?ori,2019 IAU100 NameExoWorlds,12/17/2019
Kaveh,10104,HD 175541,92895,,Kaveh,Ser,"Kaveh is one of the heroes of Shahnameh, the epic poem composed by Persian poet Ferdowsi between 977 and 1010 CE. Kaveh is a blacksmith who symbolises justice.",Persian,2019 IAU100 NameExoWorlds,12/17/2019
Koeia,10009,HIP 12961,12961,,Koeia,Eri,Koeia was the word for star in the language of the Taíno Indigenous People of the Caribbean.,Taíno,2019 IAU100 NameExoWorlds,12/17/2019
Koit,10037,XO-4,,,Koit,Lyn,Koit is Estonian for the time when the Sun rises in the morning (dawn).,Estonian,2019 IAU100 NameExoWorlds,12/17/2019
Lerna,10045,HAT-P-42,,,Lerna,Hya,"Lerna was the name of a lake in the eastern Peloponnese, where the Lernaean Hydra, an immortal mythical nine-headed beast lived. The star lies in the constellation of Hydra.",Greek,2019 IAU100 NameExoWorlds,12/17/2019
